Location,Country,Region/City,Disease,Species,Feed Language,HealthMap Alert ID,URL,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,SC,SD,CC,CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Guinea,Guinea,NA,Ebola,Humans,NA,2435643,PRO/AH/EDR> Ebola virus disease - West Africa (29): corrs. Guinea,http://promedmail.org/direct.php?id=20140428.2435643,4/28/14 17:16,No Tag,NA,NA,NA,NA,NA,NA,115,72,NA,ProMED Mail,GuineeConakry.info,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2436009,PRO/AH/EDR> Ebola virus disease - West Africa (30): Guinea,http://promedmail.org/direct.php?id=20140428.2436009,4/28/14 23:8,No Tag,NA,NA,NA,NA,224,143,121,74,NA,ProMED Mail,WHO/AFRO,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2441776,"PRO/AH/EDR> Ebola virus disease - West Africa (31): Guinea, region",http://promedmail.org/direct.php?id=20140430.2441776,4/30/14 22:32,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2446468,PRO/AH/EDR> Ebola virus disease - West Africa (32): Guinea,http://promedmail.org/direct.php?id=20140502.2446468,5/2/14 22:33,No Tag,2,6,NA,NA,226,149,127,81,NA,ProMED Mail,CIDRAP News Scan [edited],WHO
Guinea,Guinea,Guekedou,Ebola,Humans,NA,2446468,PRO/AH/EDR> Ebola virus disease - West Africa (32): Guinea,http://promedmail.org/direct.php?id=20140502.2446468,5/2/14 22:33,No Tag,NA,NA,NA,NA,140,99,NA,NA,NA,ProMED Mail,CIDRAP News Scan [edited],WHO
Guinea,Guinea,Conakry,Ebola,Humans,NA,2446468,PRO/AH/EDR> Ebola virus disease - West Africa (32): Guinea,http://promedmail.org/direct.php?id=20140502.2446468,5/2/14 22:33,No Tag,NA,NA,NA,NA,53,24,NA,NA,NA,ProMED Mail,CIDRAP News Scan [edited],WHO
Guinea,Guinea,NA,Ebola,Humans,NA,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,5/3/14 22:52,No Tag,NA,NA,NA,NA,226,149,127,81,NA,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Conakry,Ebola,Humans,NA,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,5/3/14 22:52,No Tag,NA,NA,NA,NA,53,24,40,20,NA,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Guekedou,Ebola,Humans,NA,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,5/3/14 22:52,No Tag,NA,NA,NA,NA,140,99,72,49,NA,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Macenta,Ebola,Humans,NA,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,5/3/14 22:52,No Tag,NA,NA,NA,NA,22,16,13,10,NA,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Kissidougou,Ebola,Humans,NA,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,5/3/14 22:52,No Tag,NA,NA,NA,NA,6,5,1,1,NA,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
Guinea,Guinea,Dabola,Ebola,Humans,NA,2447967,"PRO/AH/EDR> Ebola virus disease - West Africa (33): WHO, global threat",http://promedmail.org/direct.php?id=20140503.2447967,5/3/14 22:52,No Tag,NA,NA,NA,NA,4,4,1,1,NA,ProMED Mail,WHO Regional Office for Africa (WHO/AFRO) [edited],MOH Guinea
